"id","nome","cidade","frequencia","site","imagem","caminho_imagem"
"5","RADIO CONTINENTAL FM ","Diamantino MT","97,3 FM","http://www.redecontinental.com.br/fmdiamantino/","01-12-2014-be962ad380c78500c4500965f7e0b849.jpg","images/radios/01-12-2014-be962ad380c78500c4500965f7e0b849.jpg"
"6","RADIO CENTRO AMÉRICA HITS FM","Sorriso-MT","89,3 FM","http://www.cafm.com.br/hits89-3fm/","01-12-2014-42442b7926a2bdfdec8da254243b8176.jpg","images/radios/01-12-2014-42442b7926a2bdfdec8da254243b8176.jpg"
"7","RADIO CIDADE FM","Itanhangá-MT","91,5 FM","http://www.cidadefmonline.blogspot.com.br/","01-12-2014-3a745044a615659b020fb2eaca197e2d.jpg","images/radios/01-12-2014-3a745044a615659b020fb2eaca197e2d.jpg"
"8","RADIO CIDADE AM","Matupá MT","770 AM","http://www.radios.com.br/aovivo/Radio-Cidade-770-AM/11662","01-12-2014-102d9425cac703cead0ff0c17ed1849e.jpg","images/radios/01-12-2014-102d9425cac703cead0ff0c17ed1849e.jpg"
"9","RADIO EDUCADORA AM","Colíder MT","650 AM","http://www.radioeducadoracolider.com.br/","01-12-2014-993ebf33ac6b546dcfffa3fd5fb7bb54.jpg","images/radios/01-12-2014-993ebf33ac6b546dcfffa3fd5fb7bb54.jpg"
"10","RADIO DIGITAL FM","Poconé MT","104,7 FM","","01-12-2014-1566f90a0a7367fdd6c5a853377b6335.jpg","images/radios/01-12-2014-1566f90a0a7367fdd6c5a853377b6335.jpg"
"11","RADIO PIONEIRA AM","Tangará da Serra MT","560 AM","http://www.radiopioneira.com.br/","01-12-2014-73adf99a1af93ab61c68dc6b8e01a909.jpg","images/radios/01-12-2014-73adf99a1af93ab61c68dc6b8e01a909.jpg"
"12","RADIO INTERATIVA FM","Porto dos Gauchos MT","103,1 FM","","01-12-2014-0f154df0de61f3c7d6c720f38d2403c8.jpg","images/radios/01-12-2014-0f154df0de61f3c7d6c720f38d2403c8.jpg"
"14","RADIO TROPICAL FM","Campos de Julio MT","87.9 FM","","18-12-2014-d31e9a1816e07e15a05f0a168c75e77f.jpg","images/radios/18-12-2014-d31e9a1816e07e15a05f0a168c75e77f.jpg"
"15","RADIO CONTINENTAL FM","Pontes e Lacerda - MT","97,3 FM","http://www.redecontinental.radio.br/fmponteselacerda","18-12-2014-8e0db35dd4ddda644876637d7f93ec44.jpg","images/radios/18-12-2014-8e0db35dd4ddda644876637d7f93ec44.jpg"
"16","RADIO CIDADE FM","Campos de Julio MT","104,9 FM","http://www.cidade104.com/","18-12-2014-0cc080701d70b8bbfbfc878c4afb2caa.jpg","images/radios/18-12-2014-0cc080701d70b8bbfbfc878c4afb2caa.jpg"
"17","RADIO CIDADE FM","Pontes e Lacerda - MT","104,9 FM","http://www.cidade104.com.br/","18-12-2014-a2b3d76ecc939b675a90359e1e6e22d2.jpg","images/radios/18-12-2014-a2b3d76ecc939b675a90359e1e6e22d2.jpg"
"18","RADIO POCONÉ FM ","Poconé - MT","","http://www.poconefm.listen2myradio.com/","18-12-2014-875a99938b38ff4045d58f7a23ea4a6c.jpg","images/radios/18-12-2014-875a99938b38ff4045d58f7a23ea4a6c.jpg"
"19","RADIO CLUB FM","103,1 FM","Cáceres MT","","18-12-2014-e0ea5d9fc98dc8c52047683d05bbbc58.jpg","images/radios/18-12-2014-e0ea5d9fc98dc8c52047683d05bbbc58.jpg"
"20","RADIO TRANSAMÉRICA HITZ","Castanheira MT","98 FM","www.transamerica98fm.com.br","18-12-2014-cff1727827c182ff99cb469433c86bd4.jpg","images/radios/18-12-2014-cff1727827c182ff99cb469433c86bd4.jpg"
"21","RADIO ALTERNATIVA","Querência MT","87,9 FM","http://www.querenciamt.com.br/","18-12-2014-d5d72a4de518afb29ed0568610fb5840.jpg","images/radios/18-12-2014-d5d72a4de518afb29ed0568610fb5840.jpg"
"22","RADIO INTERATIVA FM","Agua Boa MT","99,7 FM","http://www.interativafm99.com.br/","18-12-2014-9e4d5ab97df83359d3834412afbc3895.jpg","images/radios/18-12-2014-9e4d5ab97df83359d3834412afbc3895.jpg"
"23","RADIO ALTERNATIVA FM","Lucas do Rio Verde MT","104,9 FM","http://www.alternativanet.com.br/","19-12-2014-2d470fd16757017c667d22fdf8fdcdc1.jpg","images/radios/19-12-2014-2d470fd16757017c667d22fdf8fdcdc1.jpg"
"24","RADIO VALE FM","PedraPreta MT","106,3","http://www.valefmpp.com","19-12-2014-0e6e37bddc86f2af10e1d84d1cd2e877.jpg","images/radios/19-12-2014-0e6e37bddc86f2af10e1d84d1cd2e877.jpg"
"25","RADIO ARINOS FM","Nova Mutum MT","103,1 FM","http://www.grupoarinos.com.br/","19-12-2014-d0b5f89b07176813a0df623a052f2293.jpg","images/radios/19-12-2014-d0b5f89b07176813a0df623a052f2293.jpg"
"26"," RADIO INTERATIVA FM","Matupá MT","104,9 FM","http://www.nortaoagora.com.br/","19-12-2014-8ab6688d475c86c9efff0ccaebcbfbaa.jpg","images/radios/19-12-2014-8ab6688d475c86c9efff0ccaebcbfbaa.jpg"
"27","RADIO SORRISO AM","Sorriso MT","700 AM","http://www.radiosorriso.com.br/","19-12-2014-371c1e8411d7ea0d9063a72cf0cbf913.jpg","images/radios/19-12-2014-371c1e8411d7ea0d9063a72cf0cbf913.jpg"
"28","RADIO BOA ESPERANÇA FM","Boa Esperança MT","104,9 FM","","19-12-2014-ec9537e32232bfbe034b031de6099023.jpg","images/radios/19-12-2014-ec9537e32232bfbe034b031de6099023.jpg"
"29","RADIO GAZETA FM","Alta Floresta MT","99,9 FM","http://www.gazetafmaltafloresta.com.br/","19-12-2014-0c3bc7a48c8efe038c3976e62541d99b.jpg","images/radios/19-12-2014-0c3bc7a48c8efe038c3976e62541d99b.jpg"
"30","RADIO INTEGRAÇÃO AM","São José do Rio Claro","810 AM","http://www.integracao810.com.br/","19-12-2014-1f5323ebe98b654b8433eb9d996639ee.jpg","images/radios/19-12-2014-1f5323ebe98b654b8433eb9d996639ee.jpg"
"31","RADIO ALTERNATIVA AM","Guarantâ MT"," 1180 AM","","19-12-2014-0ea7687c998845661e2db97eabb867f4.jpg","images/radios/19-12-2014-0ea7687c998845661e2db97eabb867f4.jpg"
"32","RADIO CANAVIAL FM","Denise MT","96,9 FM","http://www.radiocanavial.com.br/","19-12-2014-c8020ddfb116b93c1cd68dc853274898.jpg","images/radios/19-12-2014-c8020ddfb116b93c1cd68dc853274898.jpg"
"33"," RADIO NOVA FM","Terra Nova do Norte MT","104,9 FM","http://www.novafmonline.com.br/","19-12-2014-b7ef1205b33ff14ee8702d43515ded18.jpg","images/radios/19-12-2014-b7ef1205b33ff14ee8702d43515ded18.jpg"
"34","RADIO UBIRATÂN FM","Nova Ubiratân MT","95,9 FM","http://www.ubiratafm.com.br/","19-12-2014-d7ef167a22021ba0a504ab4caaad4af4.jpg","images/radios/19-12-2014-d7ef167a22021ba0a504ab4caaad4af4.jpg"
"35","RADIO JOVEM FM","Sorriso MT","104,9 FM","","19-12-2014-2c9d2d9b822e9ef6c42aa93affd2f24c.jpg","images/radios/19-12-2014-2c9d2d9b822e9ef6c42aa93affd2f24c.jpg"
"36","RADIO TRANSAMÉRICA FM","Colider MT","99,9 FM","http://www.transamericacolider.com.br/","19-12-2014-817f2a0bc41af550ac7aaa3a95b3a0f9.jpg","images/radios/19-12-2014-817f2a0bc41af550ac7aaa3a95b3a0f9.jpg"
"37","RADIO TRIBO FM","Pontal do Araguaia MT","95,3 FM","http://www.radiotribo.com.br/","19-12-2014-d3c79f8257b079d75e79bf7f766dbb72.jpg","images/radios/19-12-2014-d3c79f8257b079d75e79bf7f766dbb72.jpg"
"38","RADIO XAVANTE AM","Jaciara MT","770 AM","http://www.radioxavantes.com.br/","19-12-2014-ca40e55340a25dee22dcef87f2ea0dba.jpg","images/radios/19-12-2014-ca40e55340a25dee22dcef87f2ea0dba.jpg"
"39","ONDA LIVRE FM","Indiavai MT","104,5 FM","http://www.radiolivreindiavai.webs.com/","19-12-2014-c402dd4dddb35b2ea6078322f2ec8841.jpg","images/radios/19-12-2014-c402dd4dddb35b2ea6078322f2ec8841.jpg"
"40","104 FM","Rondonopolis MT","104 FM","http://www.104fmaprimeira.com.br/","19-12-2014-496f0f747b1f80146441b36a00dd7c7c.jpg","images/radios/19-12-2014-496f0f747b1f80146441b36a00dd7c7c.jpg"
"41","RADIO VERDE VALE FM","Rio Verde GO","103 FM","http://www.verdevale103.com.br/","19-12-2014-fae2bda9460d100896e35b2cf7cbbb8f.jpg","images/radios/19-12-2014-fae2bda9460d100896e35b2cf7cbbb8f.jpg"
"42","RADIO ARCO IRIS FM"," Araputanga MT","","http://www.radios.com.br/play/1_airis900lins-br.htm","19-12-2014-3a87df81958130863223ae3bc00fd7de.jpg","images/radios/19-12-2014-3a87df81958130863223ae3bc00fd7de.jpg"
"43","RADIO ARAGUAIA FM","Aragarças GO","99,9 FM","http://www.araguaiafm99.com.br/","19-12-2014-570e951b5371cbc0c81f2f9f8b3f1b63.jpg","images/radios/19-12-2014-570e951b5371cbc0c81f2f9f8b3f1b63.jpg"
"44","RADIO TERRA FM","Riberão Cascalheira MT","87,9 FM","http://www.radioterra87fm.com.br/","19-12-2014-9ea81db2a15296bda056d356325dd0ca.jpg","images/radios/19-12-2014-9ea81db2a15296bda056d356325dd0ca.jpg"
"45","RADIO ARAGUAIA FM","Canarana MT","103,9 FM","http://www.araguaia103fm.com.br/","19-12-2014-f8f11ff6c998416ec6257ce0cad74179.jpg","images/radios/19-12-2014-f8f11ff6c998416ec6257ce0cad74179.jpg"
"46","RADIO VIDA NOVA FM","Canarana MT","87,9 FM","http://www.vidanovafm87.com.br/","19-12-2014-eca611150a0363a80d472fabb6c2ff4b.jpg","images/radios/19-12-2014-eca611150a0363a80d472fabb6c2ff4b.jpg"
"47","RADIO RONCADOR FM","Nova Xavantina MT"," 104,9 FM","http://www.roncadorfm.com.br/","19-12-2014-84b26962492e5ca68e0952848fb96e1c.jpg","images/radios/19-12-2014-84b26962492e5ca68e0952848fb96e1c.jpg"
"48","RADIO DIFUSORA AM"," Mirassol do Oeste MT","1010 AM","http://www.difusoramirassol.com.br/","19-12-2014-bd47714f0e6fa15c33d3fe2aae08bfbf.jpg","images/radios/19-12-2014-bd47714f0e6fa15c33d3fe2aae08bfbf.jpg"
"49","RADIO CIDADE FM","Campo Novo do Parecis MT","87,9 FM","","19-12-2014-f9283e26081f02ce2d45f69b047146b5.jpg","images/radios/19-12-2014-f9283e26081f02ce2d45f69b047146b5.jpg"
"50","RADIO CIDADE FM"," Juara MT","87,9 FM","http://cidadefmjuara.blogspot.com.br/","19-12-2014-adcc1e8eb395bd1b464374c7267ccb15.jpg","images/radios/19-12-2014-adcc1e8eb395bd1b464374c7267ccb15.jpg"
"51","RADIO NATUREZA AM","Chapada dos Guimarães","760 AM","","19-12-2014-c162fa9659a39db7c2a2f90e3e1f5f15.jpg","images/radios/19-12-2014-c162fa9659a39db7c2a2f90e3e1f5f15.jpg"
"52","RADIO TRANSAMÉRICA FM","Brasnorte MT","98 FM","http://www.portal98fm.com.br/","19-12-2014-f5dd59b75c4e35a02fcec5f159968e83.jpg","images/radios/19-12-2014-f5dd59b75c4e35a02fcec5f159968e83.jpg"
"53","RADIO METROPOLITANA FM","Juina MT","87,9 FM","http://www.metrofmjuina.com.br/","19-12-2014-a90878255b9884efeebad366cfc4300e.jpg","images/radios/19-12-2014-a90878255b9884efeebad366cfc4300e.jpg"
"54","RADIO 14 DE MAIO FM","Mirassol do Oeste MT","104,9 FM","http://www.radio14demaiofm.com.br/","19-12-2014-2eb466e7080c047ebf7bb9c2bc660d03.jpg","images/radios/19-12-2014-2eb466e7080c047ebf7bb9c2bc660d03.jpg"
"55","RADIO TUCUNARÉ AM","Juara MT","950 AM","http://www.radiotucunare.com.br/","19-12-2014-377affc2a8597a1d23017d205577b978.jpg","images/radios/19-12-2014-377affc2a8597a1d23017d205577b978.jpg"
"56"," RADIO VALE FM"," São José dos Quatro Marcos","90,9 FM","http://www.valefm4marcos.com.br/","19-12-2014-9fb123ef5f357337fda659e3902f556e.jpg","images/radios/19-12-2014-9fb123ef5f357337fda659e3902f556e.jpg"
"57","RADIO LIVRE FM","Rio Branco MT","104,9 FM","http://www.radiolivrefm.listen2myradio.com/","19-12-2014-64110260fe55537e5fd58ff16efab520.jpg","images/radios/19-12-2014-64110260fe55537e5fd58ff16efab520.jpg"
"58","RADIO CIDADE NEWS FM","Barra do Bugres MT","96,1 FM","","19-12-2014-725a5d0a247adc5c142fdf12cf4170fe.jpg","images/radios/19-12-2014-725a5d0a247adc5c142fdf12cf4170fe.jpg"
"59","RADIO CULTURA FM","Nova Olimpia MT"," 104 FM"," http://culturafm104.com/","19-12-2014-2285195056544552cb07b45b08bd5fb2.jpg","images/radios/19-12-2014-2285195056544552cb07b45b08bd5fb2.jpg"
"60","RADIO DIFUSORA FM","Cáceres MT"," 102,3 FM","http://www.difusoracaceres.com.br/","19-12-2014-15c3af3f30221b52f6a7c039b38c636e.jpg","images/radios/19-12-2014-15c3af3f30221b52f6a7c039b38c636e.jpg"
"61","RADIO GAZETA FM","Cuiabá MT","99,9 FM","http://fm.gazetadigital.com.br/home/index.php","19-12-2014-b4788a390fefc445ce72baa15bb83970.jpg","images/radios/19-12-2014-b4788a390fefc445ce72baa15bb83970.jpg"
"62","RADIO HITZ FM","Sinop MT","87,9 FM","http://www.fmhits.com.br/","19-12-2014-cf71d2d62ae125296d1da7094786c53f.jpg","images/radios/19-12-2014-cf71d2d62ae125296d1da7094786c53f.jpg"
"63","RADIO AMAZÔNIA FM","Brasnorte MT","87,9 FM","http://www.emcimadosfatos.com.br/","19-12-2014-b6457376cd52b695fa466ef12dd50fc0.jpg","images/radios/19-12-2014-b6457376cd52b695fa466ef12dd50fc0.jpg"
"64","RADIO CIDADE FM","Cuiabá MT","94,3 FM"," http://www.cidade94fm.com.br/","19-12-2014-f4b716db0b823c26dddb57967c96be73.jpg","images/radios/19-12-2014-f4b716db0b823c26dddb57967c96be73.jpg"
